blocking_s,matching_s,tp,fp,pairs_no,recall,precision,replica,seed
22.152783393859863,43.26535606384277,40892,44264,128915,0.9999755459369575,0.4802010427920522,1,20260907
22.455222606658936,41.06058382987976,40892,44166,128731,0.9999755459369575,0.48075430882456677,2,20260908
22.558715343475342,41.29522490501404,40892,43766,127715,0.9999755459369575,0.48302582154078766,3,20260909
22.68808102607727,41.25415086746216,40892,43994,127989,0.9999755459369575,0.4817284357844639,4,20260910
22.627740144729614,41.361907958984375,40892,44391,129066,0.9999755459369575,0.47948594678892625,5,20260911
22.69237756729126,41.30890703201294,40892,43369,127197,0.9999755459369575,0.4853016223401099,6,20260912
22.66804575920105,41.33694887161255,40892,42910,126410,0.9999755459369575,0.48795971456528486,7,20260913
22.714305877685547,41.382246017456055,40892,44145,128785,0.9999755459369575,0.4808730317391253,8,20260914
22.75989079475403,41.28432536125183,40892,43681,127944,0.9999755459369575,0.4835112861078595,9,20260915
22.77049422264099,41.340619802474976,40892,43887,128062,0.9999755459369575,0.48233642765307444,10,20260916
