blocking_s,matching_s,tp,fp,pairs_no,recall,precision,replica,seed
20.464122533798218,103.06780576705933,38662,65363,168571,0.9454429853520162,0.37166065849555396,1,20260907
20.803186416625977,98.43171286582947,38662,65343,168073,0.9454429853520162,0.3717321282630643,2,20260908
20.764667987823486,98.88897228240967,38662,64584,166540,0.9454429853520162,0.3744648703097457,3,20260909
21.306779384613037,100.95423793792725,38662,64949,166962,0.9454429853520162,0.3731457084672477,4,20260910
21.487922430038452,101.56280446052551,38662,66542,170342,0.9454429853520162,0.367495532489259,5,20260911
21.341681003570557,101.37942361831665,38662,64973,167254,0.9454429853520162,0.3730592946398418,6,20260912
21.35797643661499,101.03880977630615,38662,65527,168318,0.9454429853520162,0.3710756413824876,7,20260913
21.23740553855896,101.18095374107361,38662,65760,168557,0.9454429853520162,0.3702476489628622,8,20260914
21.34973168373108,101.31458854675293,38662,65502,168364,0.9454429853520162,0.3711647018163665,9,20260915
21.84474468231201,103.85167670249939,38662,66105,169300,0.9454429853520162,0.36902841543615833,10,20260916
