blocking_s,matching_s,tp,fp,pairs_no,recall,precision,replica,seed
3.8959484100341797,140.23872661590576,4976,2663,74217,0.9306152982981111,0.6513941615394685,1,20260907
3.7694859504699707,133.63118982315063,4972,2642,76000,0.929867215260894,0.6530076175466246,2,20260908
3.886944055557251,129.0190668106079,4971,2640,73441,0.9296801945015897,0.653133622388648,3,20260909
3.773761510848999,132.78789472579956,4969,2683,75603,0.9293061529829811,0.6493727130162049,4,20260910
3.7180728912353516,142.71981239318848,4974,2652,74280,0.9302412567795025,0.6522423288749016,5,20260911
3.7738542556762695,133.49487137794495,4976,2717,75383,0.9306152982981111,0.6468217860392564,6,20260912
4.901782274246216,138.08008003234863,4979,2648,74340,0.9311763605760239,0.6528123770814213,7,20260913
3.701197862625122,131.0200057029724,4974,2754,75295,0.9302412567795025,0.6436335403726708,8,20260914
4.099375486373901,144.83473134040833,4962,2563,74768,0.9279970076678511,0.6594019933554818,9,20260915
3.8105990886688232,131.25096154212952,4976,2590,72637,0.9306152982981111,0.6576790906687814,10,20260916
