blocking_s,matching_s,tp,fp,pairs_no,recall,precision,replica,seed
211.9711570739746,508.3553922176361,20578,4237,28920,0.10636274357781568,0.8292564980858351,1,20260907
213.15295362472534,505.9104928970337,20578,4274,29068,0.10636274357781568,0.8280218895863511,2,20260908
210.85543417930603,492.8506751060486,20578,4290,29099,0.10636274357781568,0.8274891426733151,3,20260909
214.47812128067017,508.92978835105896,20578,4243,29023,0.10636274357781568,0.8290560412553886,4,20260910
214.09921550750732,508.26162981987,20578,4278,29025,0.10636274357781568,0.8278886385580946,5,20260911
212.83044147491455,494.25758695602417,20578,4278,29081,0.10636274357781568,0.8278886385580946,6,20260912
213.01800537109375,504.76228761672974,20578,4247,28969,0.10636274357781568,0.8289224572004028,7,20260913
213.67840719223022,506.34127020835876,20578,4275,29074,0.10636274357781568,0.8279885728081117,8,20260914
213.69169163703918,502.17947483062744,20578,4261,29020,0.10636274357781568,0.828455251821732,9,20260915
212.38482546806335,498.6094014644623,20578,4356,29147,0.10636274357781568,0.8252987888024385,10,20260916
