blocking_s,matching_s,tp,fp,pairs_no,recall,precision,replica,seed
3.20212459564209,99.18113923072815,5288,862,24497,0.9889657752010473,0.8598373983739838,1,20260907
3.247421979904175,95.92000079154968,5277,817,24340,0.9869085468487002,0.8659337052838858,2,20260908
3.210205554962158,95.71712350845337,5281,888,24632,0.9876566298859173,0.856054465877776,3,20260909
3.2135050296783447,95.95448613166809,5279,784,24666,0.9872825883673088,0.8706910770245753,4,20260910
3.218742609024048,95.87746930122375,5286,877,24567,0.9885917336824388,0.8576991724809346,5,20260911
3.206005573272705,96.15007615089417,5286,780,24762,0.9885917336824388,0.8714144411473789,6,20260912
3.196308135986328,95.55435943603516,5284,896,24545,0.9882176921638302,0.8550161812297734,7,20260913
3.2182211875915527,96.18929767608643,5297,850,24960,0.9906489620347858,0.8617211647958354,8,20260914
3.210265874862671,96.08795094490051,5289,830,24509,0.9891527959603515,0.8643569210655336,9,20260915
3.210080623626709,96.12641525268555,5298,811,24778,0.9908359827940901,0.8672450482894091,10,20260916
