blocking_s,matching_s,tp,fp,pairs_no,recall,precision,replica,seed
3.133615016937256,97.14946866035461,4721,755,20025,0.8829250046755189,0.8621256391526662,1,20260907
3.1320202350616455,93.20839762687683,4723,772,20667,0.8832990461941276,0.85950864422202,2,20260908
3.1160542964935303,93.48562264442444,4742,697,19920,0.886852440620909,0.8718514432800147,3,20260909
3.158168077468872,93.17529606819153,4720,753,20553,0.8827379839162147,0.8624154942444728,4,20260910
3.1294190883636475,93.23407578468323,4707,751,20281,0.8803067140452591,0.8624038109197508,5,20260911
3.121492862701416,93.35637998580933,4711,779,20381,0.8810547970824761,0.8581056466302368,6,20260912
3.1523663997650146,93.36139941215515,4727,729,20057,0.8840471292313447,0.8663856304985337,7,20260913
3.121711254119873,93.25927877426147,4695,787,20496,0.8780624649336076,0.856439255746078,8,20260914
3.114842653274536,93.07934927940369,4694,715,20096,0.8778754441743033,0.8678129044185616,9,20260915
3.1266684532165527,93.05857276916504,4713,731,20091,0.8814288386010847,0.8657237325495959,10,20260916
