blocking_s,matching_s,tp,fp,pairs_no,recall,precision,replica,seed
23.293023109436035,111.10356283187866,38662,65277,168377,0.9454429853520162,0.37196817364030826,1,20260907
24.25658416748047,110.83643245697021,38662,65262,167890,0.9454429853520162,0.3720218621300181,2,20260908
24.207846879959106,110.0008933544159,38662,64492,166355,0.9454429853520162,0.37479884444616784,3,20260909
24.461716413497925,110.24192547798157,38662,64865,166780,0.9454429853520162,0.3734484723791861,4,20260910
23.71008610725403,108.57838082313538,38662,66424,170122,0.9454429853520162,0.3679081894828997,5,20260911
23.940020322799683,110.36029529571533,38662,64872,167048,0.9454429853520162,0.3734232232889679,6,20260912
23.928764581680298,110.25709438323975,38662,65427,168118,0.9454429853520162,0.3714321398034374,7,20260913
23.92762279510498,110.36532497406006,38662,65657,168355,0.9454429853520162,0.3706132152340417,8,20260914
24.17707324028015,109.95152568817139,38662,65401,168168,0.9454429853520162,0.37152494162190214,9,20260915
24.05057406425476,110.7227680683136,38662,66016,169125,0.9454429853520162,0.36934217314048795,10,20260916
