blocking_s,matching_s,tp,fp,pairs_no,recall,precision,replica,seed
216.98464632034302,847.8445570468903,20578,11159,42726,0.10636274357781568,0.6483914673724674,1,20260907
218.4047532081604,843.4171831607819,20578,11104,42640,0.10636274357781568,0.6495170759421753,2,20260908
218.62525844573975,844.3069140911102,20578,11100,42661,0.10636274357781568,0.6495990908516952,3,20260909
218.96405506134033,844.603565454483,20578,11076,42555,0.10636274357781568,0.6500916155936058,4,20260910
217.9412407875061,841.6358432769775,20578,11124,42378,0.10636274357781568,0.6491073118415241,5,20260911
218.54653906822205,844.8783190250397,20578,11207,42720,0.10636274357781568,0.6474123014000315,6,20260912
219.71456003189087,860.0850071907043,20578,11113,42518,0.10636274357781568,0.649332618093465,7,20260913
224.0535261631012,888.739447593689,20578,11119,42736,0.10636274357781568,0.649209704388428,8,20260914
222.1851999759674,864.4534854888916,20578,11133,42770,0.10636274357781568,0.6489230866260919,9,20260915
223.73968076705933,889.4204318523407,20578,11236,42877,0.10636274357781568,0.646822153768781,10,20260916
