blocking_s,matching_s,tp,fp,pairs_no,recall,precision,replica,seed
3.2566561698913574,101.89726543426514,4721,755,20025,0.8829250046755189,0.8621256391526662,1,20260907
3.2804765701293945,96.64376139640808,4723,772,20667,0.8832990461941276,0.85950864422202,2,20260908
3.263343095779419,96.37729001045227,4742,697,19920,0.886852440620909,0.8718514432800147,3,20260909
3.273089647293091,96.62177014350891,4720,753,20553,0.8827379839162147,0.8624154942444728,4,20260910
3.2588632106781006,96.51074767112732,4707,751,20281,0.8803067140452591,0.8624038109197508,5,20260911
3.274696111679077,96.7900493144989,4711,779,20381,0.8810547970824761,0.8581056466302368,6,20260912
3.2794029712677,96.83561182022095,4727,729,20057,0.8840471292313447,0.8663856304985337,7,20260913
3.277113676071167,96.78022313117981,4695,787,20496,0.8780624649336076,0.856439255746078,8,20260914
3.274343490600586,96.6347017288208,4694,715,20096,0.8778754441743033,0.8678129044185616,9,20260915
3.229081869125366,96.04770231246948,4713,731,20091,0.8814288386010847,0.8657237325495959,10,20260916
