blocking_s,matching_s,tp,fp,pairs_no,recall,precision,replica,seed
20.715421199798584,102.36882877349854,38662,65277,168377,0.9454429853520162,0.37196817364030826,1,20260907
20.91810703277588,99.01334500312805,38662,65262,167890,0.9454429853520162,0.3720218621300181,2,20260908
20.838493585586548,98.82730054855347,38662,64492,166355,0.9454429853520162,0.37479884444616784,3,20260909
20.99267816543579,99.10658597946167,38662,64865,166780,0.9454429853520162,0.3734484723791861,4,20260910
21.032846450805664,99.20470309257507,38662,66424,170122,0.9454429853520162,0.3679081894828997,5,20260911
21.105647087097168,99.22508502006531,38662,64872,167048,0.9454429853520162,0.3734232232889679,6,20260912
20.860836505889893,99.054354429245,38662,65427,168118,0.9454429853520162,0.3714321398034374,7,20260913
20.96237540245056,99.33462524414062,38662,65657,168355,0.9454429853520162,0.3706132152340417,8,20260914
21.03662919998169,99.27269339561462,38662,65401,168168,0.9454429853520162,0.37152494162190214,9,20260915
21.041343450546265,99.8460750579834,38662,66016,169125,0.9454429853520162,0.36934217314048795,10,20260916
