blocking_s,matching_s,tp,fp,pairs_no,recall,precision,replica,seed
3.2025530338287354,125.50163197517395,4983,2665,75121,0.9319244436132411,0.6515428870292888,1,20260907
3.193817138671875,119.1110668182373,4977,2646,76940,0.9308023190574154,0.6528925619834711,2,20260908
3.1932501792907715,119.33253908157349,4977,2649,74357,0.9308023190574154,0.6526357199055861,3,20260909
3.1849098205566406,118.79995059967041,4977,2688,76588,0.9308023190574154,0.6493150684931507,4,20260910
3.1966893672943115,118.73243498802185,4975,2653,75189,0.9304282775388069,0.6522024121657053,5,20260911
3.1828176975250244,118.96061658859253,4979,2720,76317,0.9311763605760239,0.6467073645928043,6,20260912
3.1786913871765137,119.13308310508728,4988,2650,75277,0.9328595474097625,0.6530505367897356,7,20260913
3.1821823120117188,118.92807054519653,4978,2755,76229,0.9309893398167196,0.6437346437346437,8,20260914
3.1777708530426025,118.7425606250763,4970,2568,75685,0.9294931737422854,0.6593260811886442,9,20260915
3.176983594894409,118.54275822639465,4978,2595,73568,0.9309893398167196,0.657335270038294,10,20260916
