blocking_s,matching_s,tp,fp,pairs_no,recall,precision,replica,seed
3.213827610015869,122.4135193824768,4976,2663,74217,0.9306152982981111,0.6513941615394685,1,20260907
3.250598907470703,117.35951566696167,4972,2642,76000,0.929867215260894,0.6530076175466246,2,20260908
3.22267746925354,117.56572341918945,4971,2640,73441,0.9296801945015897,0.653133622388648,3,20260909
3.2309131622314453,117.30908846855164,4969,2683,75603,0.9293061529829811,0.6493727130162049,4,20260910
3.2242329120635986,117.34956979751587,4974,2652,74280,0.9302412567795025,0.6522423288749016,5,20260911
3.2253668308258057,117.30005645751953,4976,2717,75383,0.9306152982981111,0.6468217860392564,6,20260912
3.234239339828491,117.35663866996765,4979,2648,74340,0.9311763605760239,0.6528123770814213,7,20260913
3.226600170135498,117.21854090690613,4974,2754,75295,0.9302412567795025,0.6436335403726708,8,20260914
3.236815929412842,117.40690207481384,4962,2563,74768,0.9279970076678511,0.6594019933554818,9,20260915
3.2131569385528564,117.23959875106812,4976,2590,72637,0.9306152982981111,0.6576790906687814,10,20260916
